Website,Component1,Component2,Component3,Component4,Component5
821,C11,C18,C25,C8,C23
822,C20,C2,C27,C29,C13
823,C35,C17,C30,C28,C36
824,C21,C38,C39,C34,C41
825,C32,C44,C45,C26,C40
826,C33,C37,C51,C48,C16
827,C50,C53,C56,C49,C54
828,C55,C24,C59,C61,C58
829,C22,C57,C62,C64,C31
830,C63,C70,C67,C43,C65
831,C71,C3,C46,C72,C2
832,C69,C8,C73,C68,C4
833,C13,C10,C7,C42,C5
834,C11,C18,C6,C16,C17
835,C22,C14,C47,C23,C66
836,C1,C20,C12,C19,C9
837,C32,C26,C30,C25,C24
838,C35,C60,C27,C34,C31
839,C33,C29,C52,C39,C41
840,C37,C38,C47,C42,C43
841,C51,C48,C36,C53,C15
842,C46,C50,C57,C40,C28
843,C63,C59,C44,C45,C55
844,C64,C58,C60,C52,C49
845,C71,C56,C54,C21,C73
846,C66,C61,C72,C4,C2
847,C70,C8,C65,C9,C6
848,C67,C11,C13,C12,C3
849,C14,C7,C10,C20,C16
850,C62,C68,C1,C17,C19
851,C18,C30,C25,C21,C5
852,C28,C35,C29,C34,C27
853,C39,C32,C33,C15,C38
854,C31,C45,C26,C40,C24
855,C49,C37,C69,C22,C50
856,C41,C53,C42,C47,C43
857,C52,C23,C54,C36,C59
858,C55,C57,C44,C63,C56
859,C68,C48,C67,C62,C51
860,C1,C69,C70,C46,C64
861,C66,C72,C5,C3,C65
862,C10,C6,C61,C58,C12
863,C2,C4,C16,C9,C15
864,C18,C14,C17,C73,C22
865,C8,C7,C25,C20,C26
866,C31,C30,C21,C60,C13
867,C36,C32,C35,C24,C19
868,C42,C28,C34,C33,C29
869,C43,C38,C71,C40,C46
870,C23,C39,C52,C44,C50
871,C47,C48,C27,C53,C41
872,C51,C62,C60,C54,C45
873,C55,C11,C64,C61,C57
874,C72,C70,C56,C37,C58
875,C49,C1,C71,C69,C3
876,C4,C67,C8,C65,C66
877,C5,C9,C7,C68,C59
878,C18,C17,C11,C16,C63
879,C23,C15,C21,C20,C12
880,C6,C24,C28,C2,C73
881,C33,C14,C27,C32,C13
882,C35,C29,C25,C19,C31
883,C41,C39,C26,C36,C38
884,C10,C22,C45,C49,C30
885,C34,C54,C42,C48,C37
886,C58,C46,C43,C53,C51
887,C56,C57,C52,C59,C40
888,C50,C62,C69,C47,C61
889,C65,C44,C72,C64,C73
890,C63,C55,C6,C71,C67
891,C4,C3,C5,C70,C1
892,C12,C68,C66,C60,C2
893,C15,C19,C21,C11,C17
894,C25,C23,C18,C16,C7
895,C24,C22,C14,C30,C26
896,C20,C9,C13,C10,C36
897,C39,C37,C34,C29,C8
898,C28,C33,C27,C35,C43
899,C31,C44,C48,C40,C42
900,C56,C45,C47,C49,C38
901,C41,C58,C60,C52,C53
902,C61,C59,C64,C50,C55
903,C62,C46,C51,C68,C57
904,C3,C72,C73,C71,C70
905,C4,C8,C54,C2,C32
906,C69,C12,C65,C7,C10
907,C13,C18,C63,C66,C9
908,C21,C20,C6,C19,C17
909,C14,C26,C11,C1,C67
910,C23,C24,C29,C30,C31
911,C34,C38,C32,C35,C27
912,C25,C42,C39,C36,C15
913,C40,C33,C48,C45,C16
914,C44,C37,C41,C43,C53
915,C46,C5,C28,C56,C50
916,C47,C54,C60,C61,C51
917,C65,C22,C57,C49,C52
918,C73,C64,C69,C67,C63
919,C4,C58,C5,C2,C70
920,C10,C72,C66,C7,C6
921,C13,C3,C14,C1,C68
922,C8,C19,C18,C71,C15
923,C20,C21,C24,C9,C12
924,C16,C29,C62,C17,C30
925,C22,C32,C26,C27,C28
926,C23,C33,C11,C25,C59
927,C44,C55,C34,C43,C38
928,C41,C36,C47,C40,C49
929,C52,C45,C51,C50,C55
930,C46,C58,C59,C48,C60
931,C37,C63,C57,C31,C39
932,C54,C42,C65,C70,C68
933,C66,C67,C53,C56,C62
934,C61,C4,C69,C2,C5
935,C11,C7,C64,C8,C12
936,C17,C35,C71,C1,C13
937,C6,C18,C10,C20,C9
938,C14,C22,C21,C19,C24
939,C31,C28,C30,C29,C16
940,C32,C34,C27,C35,C36
941,C72,C26,C33,C39,C38
942,C15,C43,C3,C25,C73
943,C51,C49,C37,C41,C46
944,C23,C56,C48,C42,C57
945,C60,C59,C40,C61,C53
946,C55,C44,C67,C52,C65
947,C66,C70,C47,C63,C71
948,C3,C58,C73,C62,C54
949,C69,C9,C50,C4,C7
950,C2,C11,C14,C64,C8
